video_url,video_id,video_type,question_id,question_type,task_type,question,clips,answer,count_details
,4,cartoon,38,A,Enumeration,Please list all types of vehicles appearing in the footage.,"[0:14:57, 0:15:00], [0:26:27, 0:26:31] ","sleigh, car",
,4,cartoon,39,B,Counting,"After Baron Bad Blood stole the magical lollipop, how many creatures pulled the rope to catch the Lollipop Dragon with a net?","[0:10:56,0:11:01]",14,
,4,cartoon,40,B,Enumeration,Please list the steps Baron Bad Blood takes to capture three small dragons.,"[0:03:50,0:03:52], [0:04:58,0:05:01]",Drag in through the magic mirror → Catch with a net → Turn into stone with a magic medallion,
,4,cartoon,43,D,Counting,How many times does Baron Bad Blood use the magic mirror?,"[0:03:06,0:03:12], [0:03:49,0:03:52], [0:09:11,0:09:14], [0:23:26,0:23:30], [0:23:52,0:23:58], [0:24:13,0:24:15]",6,
,4,cartoon,44,D,Enumeration,"Please list all the body colors of Lollipop Dragon and its friends, the little dragons.","[0:01:22,0:01:27]","Green, Pink, Yellow, Blue",
,4,cartoon,45,E,Counting,"In the festival scene, what is the total number of characters on the balcony where the king and queen are seated?","[0:02:03,0:02:07]",5,"King, Queen, prince, princess, guard"
,4,cartoon,46,E,Enumeration,Please list all the creatures pulling sleds that are lined up at the starting line for the Christmas Race.,"[0:28:15,0:28:55]","Horse, elephant-like creature, panda, monster",
,4,cartoon,47,F,Counting,"In the Mirror Forest, how many times did the characters' appearances change unwillingly in the mirrors?","[0:06:21, 0:06:30], [0:34:04,0:34:17]",2,
,4,cartoon,48,F,Enumeration,Please list all the acts of sabotage Baron Bad Blood used during the Christmas Race.,"[0:31:40,0:31:50], [0:34:38,0:34:45], [0:35:36,0:36:01]",Saw and Big Scissors → Rocket Arrow → Rolling Snowball,
,4,cartoon,41,C,Counting,How many times is the phrase 'Let the magic surround you' sung in the opening song?,"[0:00:17,0:01:20]",6,
,4,cartoon,42,C,Enumeration,Please list all the names of the characters that Lollipop Dragon called out when closing the factory at the beginning of the story.,"[0:01:22, 0:01:27]","Cuddles, Glider, Blue-Eyes",
https://www.youtube.com/watch?v=HfEVEGf1A8Q,5,cartoon,49,A,Counting,How many times do characters transform (or attempt to transform) throughout the video?,"[0:41:06,0:41:11], [0:41:28,0:41:33], [0:41:51,0:41:56], [0:42:44,0:42:49], [0:50:28,0:50:33]",6,
,5,cartoon,50,A,Enumeration,List all playground equipment visible on the school grounds.,"[0:50:28,0:50:33]","Swings, Seesaw, Jungle gym, Slide, Merry-go-round",
,5,cartoon,51,B,Counting,"After Hana took off on the swing, how many times did she swing before hitting the power lines?","[0:51:45,0:51:50]",5,
,5,cartoon,52,B,Enumeration,List the sequence of actions Kula took until she bought tomato juice from the vending machine.,"[0:02:43,0:02:48]",Approaches vending machine → Stares at tomato juice → Presses button → Slaps the button →Takes juice from dispenser,
,5,cartoon,55,D,Counting,How many times do characters drink beverages?,"[0:02:58,0:03:03], [0:03:14,0:03:18]",2,
,5,cartoon,56,D,Enumeration,List all types of hats worn by the characters.,"[0:00:28,0:00:33], [0:01:58,0:02:03], [0:28:30,0:28:35]","Cap, Hat, Helmet",
,5,cartoon,57,E,Counting,What is the total number of golden trophies displayed on the trophy shelf in the principal's office?,"[0:32:03,0:32:33]",12,
,5,cartoon,58,E,Enumeration,List all brand names of canned beverages lined up in the vending machine.,"[0:02:45,0:02:56]",Coca-Cola,
,5,cartoon,59,F,Counting,How many lit green exit signs are there in the school hallway at night?,"[0:02:01,0:02:06], [0:02:32,0:02:37]",2,
,5,cartoon,60,F,Enumeration,"After Kula met the human girl, list all the locations within the school she visited until sunrise.","[0:24:23,0:24:28], [0:29:53,0:29:58], [0:41:16,0:41:21], [0:45:02,0:45:07]","Classroom, Storage room, Rooftop, Schoolyard playground.",
,5,cartoon,53,C,Counting,How many times did a phone ring or vibrate throughout the video?,"[0:04:43,0:04:48], [0:11:10,0:11:15], [0:16:33,0:16:38]",3,
,5,cartoon,54,C,Enumeration,List the tools mentioned by Teacher Reaper in class that humans use to attack monsters.,"[0:07:06,0:07:11]",Cell phone,
https://www.youtube.com/watch?v=2sriHX3PbXw,6,cartoon,61,A,Counting,How many times are scenes depicted where rats are bothering people inside their homes?,"[0:02:46,0:03:06], [0:03:14,0:03:35], ",2,"Female House, Male House"
,6,cartoon,62,A,Enumeration,Please list all the food and drinks that the rats ruined.,"[0:02:55,0:03:02], [0:12:08,0:12:14],  [0:14:38,0:14:50], [0:15:06,0:15:23],","Cheese, soup, salted sprouts ,apples, oil, butter, bread, tomatoes, flour, sugar",
,6,cartoon,63,B,Counting,"After the mayor refused to pay the Pied Piper, how many times did the Pied Piper play his flute before leading the children away?","[0:21:11,0:21:17]",1,
,6,cartoon,64,B,Enumeration,"After the Pied Piper drowned the rats in the river, please list the steps he took to return to the town hall to receive his reward.","[0:15:34,0:15:50], [0:16:16,0:17:06], [0:18:26,0:18:32], [0:19:12,0:19:28]",Confirm the rats are gone at the riverbank → Rest under a tree → Start walking towards town → Pass through the cheering crowd → Arrive at the town hall,
,6,cartoon,67,D,Counting,How many windows are there in the meeting room where the mayor and councilors are sitting?,"[0:09:50,0:09:56]",6,
,6,cartoon,68,D,Enumeration,"Please list the scenes of the story depicted in the stained-glass round window, clockwise from the center.","[0:01:04,0:01:24]",Center: Scene of the Pied Piper leading the children to the mountain → Top: Scene of the Pied Piper luring out the rats → Top right: Scene of the children following the Pied Piper → Bottom right: Scene of the mayor refusing payment → Bottom: Scene of the Pied Piper receiving one coin → Bottom left: Scene of the townspeople suffering from rats → Top left: Scene of the lame boy left behind,
,6,cartoon,69,E,Counting,"When the Pied Piper returned to the town hall to demand his reward, how many councilors were seated around the table?","[0:19:14,0:19:32]",1,councilor
,6,cartoon,70,E,Enumeration,"In the scene just before the children enter the mountain, please list all living creatures other than children shown on screen.","[0:23:30,0:23:39]","Pied Piper, birds",
,6,cartoon,71,F,Counting,"While the Pied Piper is luring out the rats, how many people are shown outdoors, startled by the rats and fleeing?","[0:12:47,0:12:50], [0:13:00,0:13:03], [0:13:10,0:13:18]",9,
,6,cartoon,72,F,Enumeration,"Among the scenes depicting rat damage, please list all events that occurred outdoors.","[0:02:38,0:02:41], [0:03:08,0:03:12], [0:04:44,0:04:54],","Eating flowers, filling the streets, attacking soldiers, swarming around the well",
,6,cartoon,65,C,Counting,How many types of rats did the narrator mention?,"[0:12:41,0:12:50]",8,"great rat, small rat, lean rat, brawny rat, brown rat, black rat, gray rat, torni rat"
,6,cartoon,66,C,Enumeration,Please list the targets that were lured by the two different flute melodies played by the Pied Piper.,"[0:12:25,0:12:45], [0:21:53,0:22:05]","Rats, children",
https://www.youtube.com/watch?v=_zrgbA3FMVE,7,cartoon,73,A,Counting,"In the entire video, how many times are celebrities or ordinary people abducted or transformed by the ""Fabulizer""?","[0:01:02, 0:01:10], 
[0:19:22,0:19:49], 
[0:36:46,0:37:16], 
[0:50:16,0:50:31],
[1:00:41,1:00;55]",5,
,7,cartoon,74,A,Enumeration,List all the animals that escaped from Peppy Wolfman's Pet Clinic.,"[0:32:52,0:33:05]","Dog, Cat, Horse, Monkey, Bird, Pig,",
,7,cartoon,75,B,Counting,"After being attacked by giant sushi, how many mishaps did the spies encounter before arriving at the WOOHP headquarters?","[0:05:31,0:05:34], [0:05:40,0:05:46], [0:06:03,0:07:21], [0:11:44,0:11:54], [0:12:58,0:13:39]",5,
,7,cartoon,76,B,Enumeration,List the steps of the Fabulizer's human transformation process in the order they appear on screen.,"[0:19:22,0:19:49]",Moisturized eyes → Perfectly arched eyebrow → Dual-action dimples (optional cleft chin) → Pearly white perm-a-smile → Platinum streaked hair → Attention-grabbing cheek mole,
,7,cartoon,79,D,Counting,How many times does the spies' yellow spy suit appear?,"[0:26:16,0:27:32], [0:27:46,0:29:28], [0:31:17,0:31:24], [0:33:32,0:35:33], [0:40:02,0:41:46] [0:42:12,0:42:31], [0:47:23,0:51:23], [0:57:20,0:58:33]",8,
,7,cartoon,80,D,Enumeration,List all characters whose right half of their hair turned blonde due to the Fabulizer.,"[0:00:45,0:00:49], [0:34:42,0:34:44], [0:44:54,0:45:12], [0:37:12,0:37:18], [0:49:39,0:50:39]","Rob Heartslob, Peppy Wolfman, Mandy, Mandy's Posse, Mall Shoppers, Fabutopia Residents",
,7,cartoon,81,E,Counting,What is the maximum number of people trapped in capsules inside the Fabutopia spaceship?,"[0:53:15,0:53:27]",87,
,7,cartoon,82,E,Enumeration,List the attractions and facilities the spies witnessed inside the Fabutopia facility.,"[0:54:03, 0:54:44]","Full-service spa, Sweat-free gym, Air-conditioned indoor beach, All-day nightclub, Gourmet zero-calorie restaurant, Luxurious red carpet catwalk",
,7,cartoon,83,F,Counting,"After the spies became WOOHP agents, how many times were they directly harassed by Mandy and her posse?","[0:45:01, 0:45:19], [0:46:53, 0:47:14]",2,
,7,cartoon,84,F,Enumeration,List all vehicles the spies used while wearing their spy suits.,"[0:23:57,0:24:02], [0:26:18,0:26:33], [0:27:33,0:27:46], [0:40:02,0:40:15]","Jet, Motorcycle, Submarine, Fighter Jet",
,7,cartoon,77,C,Counting,How many times did the chime ring to signal the start of school or the end of class?,"[0:08:53,0:08:58], [0:18:25,0:18:28]",2,
,7,cartoon,78,C,Enumeration,"List the gadgets Jerry first issued to the spies, in the order he described them.","[0:28:50,0:30:13]","Fountain Pen Microphone, Monocle Magnifier, Ascending Ascot Cable, ComPowder, Expandable Cable Bungee Belt, Laser Lipstick, Ever expanding Bubble Gum, Suction Cup Drill Heel Go-Go Boots, Heat Sensor 6000 infrared motion detector Sunglasses, Molecular Separator Perfume, Hair Spray Can Tornado, Super Foaming Pomade Grenade, Jet Pack backpacks",
https://www.youtube.com/watch?v=TiQBTesZUJQ,8,documentary,85,A,Counting,How many times were hunting or trapping successful?,"[0:15:38,0:15:46], [0:48:46,0:48:49]",2,"Spearfishing, Blowpipe hunting"
,8,documentary,86,A,Enumeration,List the types of animals that appear in the video.,"[0:00:23,0:00:27], [0:00:33,0:00:34], [0:00:59,0:01:00], [0:00:42,0:00:43], [0:01:14,0:01:20], [0:08:54,0:08:59], [0:09:07,,0:09:11], [0:09:30,0:09:32], [0:10:37,0:10:38], [0:14:07,0:14:08], [0:14:14,0:14:15], [0:15:24,0:15:25], [0:15:47,0:15:48], [0:21:59,0:22:00], [0:22:22,0:22:23], [0:26:50,0:26:51],  [0:45:01,0:45:02],  [0:46:39,0:46:41], [0:46:46,0:46:48],","Eagle, Ant, Snake, Monkey, Scorpion, Mantis, Millipede, Leaf Katydid, Tree frog, Centipede, Huntsman spider, Damselfly, Lizard, squirrel, Butterfly, Fish, Chicken, Dog, Hornbill, Bat, Cicada, Cat",
,8,documentary,87,B,Counting,How many steps are shown in the video for making poison arrows?,"[0:12:29,0:12:35],  [0:12:44,0:12:48],  [0:10:56,0:10:57]",3,Crash and squeeze the plant (selu kalue) →  Combine other plants → Coat the dart in to the poisonous mixture →  Dried by the fire and ready to use.
,8,documentary,88,B,Enumeration,List the steps for making a loincloth from tree bark.,"[0:28:21,0:29:39],",Cut down a tree → Peel off the bark → Beat the bark to soften it → Further process and shape the bark → Wear the finished loincloth,
,8,documentary,91,D,Counting,How many scenes feature a person wearing a modern baseball cap?,"[0:00:35,0:00:36], [0:00:56,0:00:58], [0:01:26,0:01:34], [0:01:42,0:01:43], [0:16:33,0:16:34], [0:17:18,0:17:20], [0:22:49,0:22:50], [0:23:12,0:23:13], [0:26:38,0:26:39], [0:32:01,0:32:05]",10,"Male, Female"
,8,documentary,92,D,Enumeration,List all types of modern vehicles that appear in the video.,"[0:01:04,0:01:06], [0:01:33,0:01:36], [0:01:44,0:01:46], [0:02:33,0:02:34], [0:31:50,0:31:52]","Motorcycle/Scooter, Pickup truck, Monorail, Passenger car/Taxi, Airplane, Logging truck, Motorboat/Speedboat",
,8,documentary,93,E,Counting,What was the maximum number of people on one boAT the same time?,"[0:22:11,0:22:12]",13,"Baby, Kid, Adult"
,8,documentary,94,E,Enumeration,List the types of structures and buildings that appear in the video.,"[0:00:15,0:00:17], [0:01:07,0:01:08], [0:01:15,0:01:16], [0:01:35,0:01:42], [0:02:12,0:02:21],  [0:22:07,0:22:09], [0:22:54,0:22:57],","Simple shelter hut, Longhouse, Stilt wooden house, Monorail station, Modern building, Mosque, Tower, Plane runway, Logging camp hut, School, Chruch",
,8,documentary,95,F,Counting,How many types of animals appear in the night scenes?,"[0:08:54,0:08:59], [0:09:07,0:09:11], [0:09:46,0:09:47], [0:09:30,0:09:32], [0:10:16:0:10:17], [0:10:21,0:10:22], [0:10:37,0:10:38], [0:46:36,0:46:42],",10,"Leaf Katydid, Tree frog, Huntsman spider, Snake, Centipede, Jungle Nymph,  Lizard(forest dragon), Damselfly, Butterfly, Cicada"
,8,documentary,96,F,Enumeration,List the activities that the Penan people are doing in or by the river.,"[0:13:16,0:13:26], [0:15:11,0:15:12], [0:15:34,0:15:36], [0:15:47,0:15:48], [0:21:56,0:21:57],","Sharpening knives, Preparing bamboo shoots, Traveling by boat, Fishing, Bathing",
,8,documentary,89,C,Counting,"How many times did the narrator say the word ""Penan""?","[0:00:22,0:00:23], [0:01:31,0:01:32], [0:04:43,0:04:44], [0:05:53,0:05:54], [0:07:15,0:07:16], [0:13:05,0:13:06], [0:15:35,0:15:36], [0:17:18,0:17:20], [0:17:33,0:17:34], [0:18:47,0:18:48], [0:22:13,0:22:14], [0:22:49,0:22:50], [0:23:14,0:23:15], [0:26:38,0:26:39], [0:28:26,0:28:27], [0:29:02,0:29:03], [0:29:53,0:29:54], [0:32:17,0:32:18], [0:35:54,0:35:35], [0:42:35,0:42:36], [0:50:09,0:50:10], [0:50:48,0:50:49]",22,
,8,documentary,90,C,Enumeration,List all countries and major regions mentioned in the narration.,"[0:01:49,0:01:51],  [0:01:44,0:01:46], [0:01:54,0:02:00], [0:06:15,0:06:16], [0:27:10,0:27:11], [0:44:37,0:44:38]","France, InAT donesia, Borneo, Brunei, Malaysia, Cambodia, Vietnam, Asia, Africa",
https://www.youtube.com/watch?v=5dZ_lvDgevk,9,documentary,97,A,Counting,How many times is AI technology shown being used for crowd surveillance in the work?,"[0:00:20,0:00:33],
[0:17:23,0:17:42],
[0:18:31,0:18:36], 
",3,
,9,documentary,98,A,Enumeration,List all types of autonomous or robotic vehicles that appear in the work.,"[0:00:41,0:00:48], [0:09:09,0:09:21], [0:11:52,0:12:39], [0:23:07,0:23:45], [0:42:23,0:42:30]","Autonomous trucks, warehouse robots, delivery drones, autonomous cars, autonomous golf carts, security robots",
,9,documentary,99,B,Counting,"Out of the 5-game match between AlphaGo and Lee Sedol, how many games did AlphaGo win?","[0:05:13,0:05:19]",4,
,9,documentary,103,D,Counting,How many times does the orange industrial robot that performs painting and assembly appear in the car manufacturing plant?,"[0:52:03,0:52:17]",1,
,9,documentary,104,D,Enumeration,"List all company logos displayed on screen that start with the letter ""A"".","[0:01:25,0:01:27], [0:03:25,0:03:30], [0:06:15,0:06:16], [0:46:44,0:46:56]
","Abrams Foundation, AlphaGo, Apollo, Appian",
,9,documentary,105,E,Counting,"How many company logos are displayed in the ""Autonomous Driving & Robots"" section that Kai-Fu Lee is pointing to?","[0:10:17,0:10:40]",9,
,9,documentary,106,E,Enumeration,List the types of packages being carried by robots in the automated warehouse.,"[0:00:46,0:00:47], [0:09:05,0:09:17]","Yellow plastic containers, White bag-like packages",
,9,documentary,107,F,Counting,"After 5 minutes, and in scenes within China, how many times do drones appear flying?","[0:09:17,0:09:20]",1,
,9,documentary,108,F,Enumeration,List examples of AI technology applications that appear within the first minute.,"[0:00:20,0:00:27], [0:00:36,0:00:52]","Crowd surveillance, Facial recognition, Industrial robots, Autonomous trucks, Warehouse automation, Corporate surveillance",
,9,documentary,101,C,Counting,"In the Go match scene, how many times can the sound of a Go stone being placed on the board (""pachitt"" sound) be heard?","[0:01:40,0:01:40], [0:01:50,0:01:53], [0:01:59,0:02:00], [0:02:12,0:02:12], [0:04:34,0:04:34], [0:04:40,0:04:40], [0:05:06,0:05:06]",8,
,9,documentary,102,C,Enumeration,List the AI-related technological fields and concepts mentioned in the experts' interviews.,"[0:03:56,0:04:02], [0:13:16,0:13:23], [0:31:09,0:31:58]","Deep learning, Neural networks, Machine learning, Autonomous driving",
,10,documentary,110,A,Enumeration,Please list all types of horned animals that appear in the video.,"[0:00:00,0:00:06], [0:00:13,0:00:25], [0:01:01,0:01:25], [0:02:46,0:02:57], [0:06:09,06:15], [0:09:59,0:10:06], [0:10:43,0:10:46], [0:11:17,0:11:28], [0:17:26,17:31], [0:17:41,0:17:46], [0:25:59,0:26:05]","African Buffalo, Wildebeest, Kudu, Gemsbok Oryx, Rhino, Hartebeest, Gazelle, Springbok, Deer, Ankole Watusi, Waterbuck",
,10,documentary,112,B,Enumeration,Please list the actions in order from the scene starting at 9:26 where a jackal parent and cub interact.,"[0:09:26,0:09:36]",Parent sniff cub's body → Parent licks cub's body → Parent lay down beside the cub,
,10,documentary,115,D,Counting,How many times do scenes of striped animals (excluding zebras) appear?,"[0:01:01,01:25], [0:05:51,05:57], [0:06:09,06:15], [0:11:51,11:57], [0:15:57,16:08]",5,
,10,documentary,116,D,Enumeration,Please list all felines that appear in the video.,"[0:00:25,00:35], [0:01:25,01:49], [0:05:51,05:57]","Cheetah, Lion, Leopard, Serval",
,10,documentary,117,E,Counting,"In the scene at 28:23, what is the maximum number of zebras at the watering hole with the elephants?","[0:28:23,28:35],",7,
,10,documentary,118,E,Enumeration,"In the waterside scene with hippos starting from 23:02, please list all types of animals shown other than hippos.","[0:23:02,23:09],",Bird,
,10,documentary,119,F,Counting,"In the latter half of the video (after 15:00), how many types of mammals appear at the waterside?","[0:16:58,17:08], [0:18:38,18:45], [0:19:08,19:19], [0:19:31,19:40], [0:28:22,28:34]",6,
,10,documentary,120,F,Enumeration,Please list all young animals that appear in the first half of the video (up to 15:00).,"[0:16:03,16:08], [0:17:26,17:31], [0:22:32,22:43], [0:23:02,23:08], [0:23:17,23:24], [0:23:52,23:58]","Deer, Gazelle, Lion, Hippo, Cheetah, Fox",
,10,documentary,113,C,Counting,How many times can the sound of a lion roaring (including growls) be heard?,"[0:30:09,30:13]",1,
,10,documentary,114,C,Enumeration,Please list all types of animal sounds that can be heard in the video. (Excluding bird chirps),"[0:00:00,00:06], [0:00:13,00:25], [0:10:17,10:24], [0:18:38,18:42], [0:30:09,30:13]","Footsteps, Grunt, Chattering, Splashing, Growl",
https://www.youtube.com/watch?v=xi6r3hZe5Tg,11,documentary,121,A,Counting,How many times do scenes of drones flying appear throughout the video?,"[0:00:41,0:00:42], [0:01:04,0:01:16], [0:09:59,0:10:16], [0:10:23,0:10:35], [0:10:56,0:10:58], [0:11:05,0:11:10], [0:11:17,0:11:21]",7,
,11,documentary,122,A,Enumeration,List the themes of technological innovation introduced in the first minute of the video.,"[0:00:06,0:00:13], [0:00:22,0:00:28], [0:00:40,0:00:54]","Robotics and Automation, Space Development, Automotive Technology, Information Technology, Drones, Medical and Health Technology, Agricultural Technology",
,11,documentary,123,B,Counting,"In the drone delivery process for packages starting at 10:42, how many total steps are shown until the package is handed over to an individual?","[0:10:42,0:10:53]",4,Robotic arm retrieves package from drone → Robotic arm places package into locker → Recipient receives notification → Recipient retrieves package from locker
,11,documentary,124,B,Enumeration,List the steps from when a drone delivers a package to when a person receives it.,"[0:10:28,0:10:29], [0:10:42,:10:53]",Drone lands → Robotic arm retrieves package from drone → Robotic arm places package into locker → Recipient receives notification → Recipient retrieves package from locker,
,11,documentary,127,D,Counting,How many times do scenes of robotic arms operating appear?,"[0:00:08,0:00:13], [0:10:17,0:10:22], [0:10:42,0:10:46], [0:13:30,0:13:41], [0:28:17,0:28:22]",6,
,11,documentary,128,D,Enumeration,"List all types of robots appearing in the video, to the extent that they can be visually identified.","[0:00:08,0:00:17], [0:00:40,0:00:42], [0:13:30,0:13:41], [0:28:17,0:28:22], [0:34:00,0:34:43]","Industrial Robotic Arm, Humanoid Robot, Delivery Drone, Agricultural Robotic Arm, Medical Robot, Educational Robot",
,11,documentary,130,E,Enumeration,List all crops introduced as being cultivated in vertical farms.,"[0:12:46,12:54], [0:14:20,0:14:22], [0:14:46,0:14:48]","Strawberries, Kale, Tomatoes, Arugula",
,11,documentary,131,F,Counting,"In the first 35 seconds of the video, how many times do scenes of vehicles (cars, rockets, trains, etc.) moving appear?","[0:00:01,0:00:06], [0:00:27,0:00:35]",5,
,11,documentary,132,F,Enumeration,"List the points of change compared to 50 years ago, as indicated by narration or visuals.","[0:03:22,0:03:37], [0:37:26,0:37:41]","Population was one-third, GDP was less than 1% of current, Infrastructure was almost non-existent, Communication with friends overseas was mainly by letter",
,11,documentary,125,C,Counting,"Excluding the narrator, how many people appear speaking in interviews?","[0:00:45,0:01:00], [0:05:34,0:05:40], [0:08:04,0:08:16], [0:09:52,0:09:58], [0:16:24,0:16:28], [0:17:21,0:17:45], [0:19:43,0:19:59], [0:21:39,0:21:47], [0:23:54,0:23:57], [0:25:44,0:25:48], [0:29:14,0:29:20], [0:31:12,0:31:29], [0:34:14,0:34:24], [0:35:39,0:35:53], [0:36:41,0:36:57], [0:39:17:0:39:30], [0:41:20,0:41:39], [0:41:56,0:42:04], [0:42:12,0:42:17]",21,
,11,documentary,126,C,Enumeration,List the fields of organizations to which the people appearing in interviews belong.,"[0:00:45,0:00:52], [0:02:30,0:02:32], [0:05:34,0:05:35], [0:08:05,0:08:06], [0:09:52,0:09:53], [0:16:27,0:16:29], [0:19:43,0:19:45], [0:23:54,0:23:56], [0:34:52,0:34:54]","Engineering and Technology, Agriculture, Urban Planning and Housing, Architecture, Aerospace, Food Science, Education, Public Works and Water Utilities",
